"SourceFile","ID","CreateDate","Duration","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour","URL","Working"
"meta-d5Xmqp4NDLs6.json","d5Xmqp4NDLs6","2021:01:06 19:13:29","0:01:53",38.8902,-77.012,113,2021,1,6,19,"https://video.parler.com/d5/Xm/d5Xmqp4NDLs6.mp4",TRUE
"meta-dCrPCc3Hvnpm.json","dCrPCc3Hvnpm","2021:01:06 15:29:55","16.25 s",38.8912,-77.0373,16.25,2021,1,6,15,"https://video.parler.com/dC/rP/dCrPCc3Hvnpm.mp4",TRUE
"meta-dF2z7e7CkqqD.json","dF2z7e7CkqqD","2021:01:06 20:23:58","0:00:30",38.8895,-77.0101,30,2021,1,6,20,"https://video.parler.com/dF/2z/dF2z7e7CkqqD.mp4",TRUE
"meta-dH7rHe3d36Wo.json","dH7rHe3d36Wo","2021:01:06 20:10:24","18.61 s",38.8898,-77.01,18.61,2021,1,6,20,"https://video.parler.com/dH/7r/dH7rHe3d36Wo.mp4",TRUE
"meta-DIPqf1K2PJba.json","DIPqf1K2PJba","2021:01:06 21:11:12","0:01:30",38.8905,-77.0118,90,2021,1,6,21,"https://video.parler.com/DI/Pq/DIPqf1K2PJba.mp4",TRUE
"meta-DMtXYvwqu6HV.json","DMtXYvwqu6HV","2021:01:06 19:29:52","24.00 s",38.8904,-77.011,24,2021,1,6,19,"https://video.parler.com/DM/tX/DMtXYvwqu6HV.mp4",TRUE
"meta-Dr91Sy9JPaqz.json","Dr91Sy9JPaqz","2021:01:06 17:57:16","0:01:13",38.8904,-77.0119,73,2021,1,6,17,"https://video.parler.com/Dr/91/Dr91Sy9JPaqz.mp4",TRUE
"meta-Ds6ZUPblNzv4.json","Ds6ZUPblNzv4","2021:01:06 16:06:37","0:01:00",38.8922,-77.0365,60,2021,1,6,16,"https://video.parler.com/Ds/6Z/Ds6ZUPblNzv4.mp4",TRUE
"meta-dVipXMFYPp43.json","dVipXMFYPp43","2021:01:06 16:12:38","28.49 s",38.8931,-77.0337,28.49,2021,1,6,16,"https://video.parler.com/dV/ip/dVipXMFYPp43.mp4",TRUE
"meta-DWGQ3kX1t1bF.json","DWGQ3kX1t1bF","2021:01:06 19:46:27","0:00:32",38.89,-77.0099,32,2021,1,6,19,"https://video.parler.com/DW/GQ/DWGQ3kX1t1bF.mp4",TRUE
